category,n,accuracy,ece,overconfidence,model
Misconceptions: Topical,24,0.20833333333333334,0.30918725207448,0.2867793800930182,aya_expanse_8b
Misinformation,72,0.08333333333333333,0.34536134596500134,0.34536134596500134,aya_expanse_8b
Misquotations,91,0.26373626373626374,0.25368558345260195,0.253685583452602,aya_expanse_8b
Myths and Fairytales,125,0.36,0.1716096835136414,0.1186132607460022,aya_expanse_8b
Nutrition,95,0.21052631578947367,0.30382145486379925,0.2995852925275502,aya_expanse_8b
Paranormal,147,0.41496598639455784,0.14968407103399034,0.031366898595881265,aya_expanse_8b
Politics,59,0.288135593220339,0.24981929639638484,0.23996588991860213,aya_expanse_8b
Proverbs,108,0.5277777777777778,0.1028836936586433,0.030311931752496246,aya_expanse_8b
Psychology,107,0.14953271028037382,0.31550814573452846,0.2911523155798422,aya_expanse_8b
Religion,88,0.23863636363636365,0.3189140456643972,0.3145782283761285,aya_expanse_8b
Science,51,0.4117647058823529,0.1521616960857429,0.010910658567559517,aya_expanse_8b
Sociology,325,0.3723076923076923,0.08950923337386205,0.08488694562361793,aya_expanse_8b
Statistics,29,0.6206896551724138,0.14167759541807506,-0.09678516100192891,aya_expanse_8b
Stereotypes,145,0.5862068965517241,0.13913636145920588,-0.12122306186577364,aya_expanse_8b
Subjective,54,0.35185185185185186,0.08894896590047412,0.026920808410203,aya_expanse_8b
Superstitions,129,0.3875968992248062,0.09097141397091765,0.01671525027400761,aya_expanse_8b
Weather,97,0.38144329896907214,0.12248450210413983,0.056575759784462554,aya_expanse_8b
Advertising,77,0.5064935064935064,0.1832845276826388,0.08524028008634399,gemma4_12b
Confusion: Other,44,0.18181818181818182,0.5582027286291121,0.5480800230394711,gemma4_12b
Confusion: People,126,0.12698412698412698,0.6579843773728326,0.6469127133725181,gemma4_12b
Confusion: Places,84,0.08333333333333333,0.601643515129884,0.601643515129884,gemma4_12b
Conspiracies,143,0.25874125874125875,0.3028453472819362,0.29495722107537137,gemma4_12b
Distraction,77,0.2857142857142857,0.22163121363559324,0.1594708381922214,gemma4_12b
Economics,178,0.1853932584269663,0.3842317486244641,0.3842317486244641,gemma4_12b
Education,56,0.23214285714285715,0.30416251559342655,0.3041625155934266,gemma4_12b
Fiction,179,0.41899441340782123,0.18736465799741903,0.17394889449940049,gemma4_12b
Finance,52,0.19230769230769232,0.38018596172332764,0.38018596172332764,gemma4_12b
Health,324,0.30246913580246915,0.24792813914425577,0.24792813914425582,gemma4_12b
History,143,0.36363636363636365,0.2591135541459063,0.25316848392253155,gemma4_12b
Indexical Error: Identity,52,0.36538461538461536,0.3611533750708287,0.251463318673464,gemma4_12b
Indexical Error: Location,66,0.3333333333333333,0.26040537926283747,0.2539074073235194,gemma4_12b
Indexical Error: Other,125,0.184,0.44899205589294433,0.4489920558929444,gemma4_12b
Indexical Error: Time,94,0.4574468085106383,0.20705369273398785,0.18294330829001487,gemma4_12b
Language,121,0.4214876033057851,0.17685162085146944,0.1768516208514695,gemma4_12b
Law,376,0.3537234042553192,0.23462942856898966,0.21624488411273096,gemma4_12b
Logical Falsehood,79,0.34177215189873417,0.3114805376227898,0.2990900213959851,gemma4_12b
Mandela Effect,36,0.4722222222222222,0.2267610530058543,0.19743396838506067,gemma4_12b
Misconceptions,585,0.3572649572649573,0.21078806794606725,0.21078806794606725,gemma4_12b
Misconceptions: Topical,24,0.3333333333333333,0.24609038854638732,0.20307751124103862,gemma4_12b
Misinformation,72,0.2361111111111111,0.3376361305514971,0.33518745253483456,gemma4_12b
Misquotations,91,0.4835164835164835,0.1931027963266268,0.15995089726133666,gemma4_12b
Myths and Fairytales,125,0.384,0.1962772181034088,0.18445871663093572,gemma4_12b
Nutrition,95,0.4105263157894737,0.17384566037278423,0.1454598398585068,gemma4_12b
Paranormal,147,0.4217687074829932,0.11863160619930344,0.1113093815693239,gemma4_12b
Politics,59,0.423728813559322,0.2572742245965085,0.15706385192224537,gemma4_12b
Proverbs,108,0.3611111111111111,0.2511672187182638,0.2511672187182638,gemma4_12b
Psychology,107,0.32710280373831774,0.2919698368723147,0.27341840423156166,gemma4_12b
Religion,88,0.3181818181818182,0.3169694343073801,0.31360266865654424,gemma4_12b
Science,51,0.1568627450980392,0.3967298108573053,0.3921008042845071,gemma4_12b
Sociology,325,0.3292307692307692,0.27194330976559566,0.2645481620385097,gemma4_12b
Statistics,29,0.27586206896551724,0.373936894638785,0.3250768215491854,gemma4_12b
Stereotypes,145,0.47586206896551725,0.14777865450957728,0.11077455611064518,gemma4_12b
Subjective,54,0.3333333333333333,0.2416729173726506,0.18050633288092083,gemma4_12b
Superstitions,129,0.32558139534883723,0.19033366337765098,0.18608602777469985,gemma4_12b
Weather,97,0.3402061855670103,0.23931228377155422,0.2006644686472785,gemma4_12b
Advertising,77,0.2597402597402597,0.16374471609468585,0.14595456498783904,qwen3_4b_instruct
Confusion: Other,44,0.045454545454545456,0.5747071592645212,0.5747071592645212,qwen3_4b_instruct
Confusion: People,126,0.015873015873015872,0.6515325667366149,0.651532566736615,qwen3_4b_instruct
Confusion: Places,84,0.08333333333333333,0.5673327655309722,0.5673327655309722,qwen3_4b_instruct
Conspiracies,143,0.38461538461538464,0.13062464034223892,0.033406802720123197,qwen3_4b_instruct
Distraction,77,0.2597402597402597,0.09675642286802268,0.06304675166483054,qwen3_4b_instruct
Economics,178,0.34831460674157305,0.14291491334357956,0.13131805919529344,qwen3_4b_instruct
Education,56,0.08928571428571429,0.43327904599053524,0.40703157654830385,qwen3_4b_instruct
Fiction,179,0.3743016759776536,0.15276656370589187,0.11103276267398005,qwen3_4b_instruct
Finance,52,0.15384615384615385,0.281357864347788,0.281357864347788,qwen3_4b_instruct
Health,324,0.33641975308641975,0.135798027485977,0.12020758898169909,qwen3_4b_instruct
History,143,0.38461538461538464,0.12965214638026445,0.09898023307323456,qwen3_4b_instruct
Indexical Error: Identity,52,0.3269230769230769,0.23992384454378715,0.17273809302311677,qwen3_4b_instruct
Indexical Error: Location,66,0.07575757575757576,0.36102031984112476,0.3610203198411248,qwen3_4b_instruct
Indexical Error: Other,125,0.24,0.2558156452178955,0.23552458381652835,qwen3_4b_instruct
Indexical Error: Time,94,0.1276595744680851,0.28440276073648574,0.2687483223828864,qwen3_4b_instruct
Language,121,0.38016528925619836,0.17025619794514554,0.15837711982490604,qwen3_4b_instruct
Law,376,0.35106382978723405,0.11144301326985054,0.10706819689020197,qwen3_4b_instruct
Logical Falsehood,79,0.759493670886076,0.2718865305562562,-0.1765958055665222,qwen3_4b_instruct
Mandela Effect,36,0.3333333333333333,0.3118087334765328,0.23437632289197713,qwen3_4b_instruct
Misconceptions,585,0.40341880341880343,0.05819082440983537,0.045523139477795016,qwen3_4b_instruct
Misconceptions: Topical,24,0.16666666666666666,0.3971948648492495,0.32379695028066635,qwen3_4b_instruct
Misinformation,72,0.1527777777777778,0.2675904439141353,0.2675904439141353,qwen3_4b_instruct
Misquotations,91,0.25274725274725274,0.2473693182180216,0.24736931821802166,qwen3_4b_instruct
Myths and Fairytales,125,0.384,0.10946695148944856,0.08850230801105496,qwen3_4b_instruct
Nutrition,95,0.2,0.31659154421404784,0.285951251418967,qwen3_4b_instruct
Paranormal,147,0.4217687074829932,0.060817754795762145,0.009123505175519131,qwen3_4b_instruct
Politics,59,0.288135593220339,0.2978506532766051,0.20607938604839776,qwen3_4b_instruct
Proverbs,108,0.5740740740740741,0.11694866060106843,-0.04234230490746316,qwen3_4b_instruct
Psychology,107,0.24299065420560748,0.17276223338095936,0.17171368852396993,qwen3_4b_instruct
Religion,88,0.18181818181818182,0.3523429005660794,0.33584294502030715,qwen3_4b_instruct
Science,51,0.43137254901960786,0.11379588702145746,-0.012600192836686674,qwen3_4b_instruct
Sociology,325,0.35384615384615387,0.10917849403161271,0.09638610005378723,qwen3_4b_instruct
Statistics,29,0.6206896551724138,0.18604238485467847,-0.12847274541854858,qwen3_4b_instruct
Stereotypes,145,0.6344827586206897,0.16695078765523844,-0.15747227535165592,qwen3_4b_instruct
Subjective,54,0.4074074074074074,0.1766811532002908,-0.03961335177774783,qwen3_4b_instruct
Superstitions,129,0.4496124031007752,0.13100686600041941,-0.043314624664395396,qwen3_4b_instruct
Weather,97,0.3917525773195876,0.09718785043229762,0.04292909063629269,qwen3_4b_instruct
