language,domain,n,accuracy
yor,Religion,15,0.2
yor,Science,9,0.2222222222222222
yor,Sociology,54,0.42592592592592593
yor,Statistics,5,0.8
yor,Stereotypes,24,0.6666666666666666
yor,Subjective,9,0.4444444444444444
yor,Superstitions,22,0.5454545454545454
yor,Weather,16,0.375
zul,Advertising,14,0.21428571428571427
zul,Confusion: Other,5,0.0
zul,Confusion: People,17,0.0
zul,Confusion: Places,10,0.0
zul,Conspiracies,23,0.2608695652173913
zul,Distraction,12,0.16666666666666666
zul,Economics,31,0.2903225806451613
zul,Education,10,0.1
zul,Fiction,30,0.4
zul,Finance,8,0.25
zul,Health,50,0.4
zul,History,23,0.5217391304347826
zul,Indexical Error: Identity,8,0.375
zul,Indexical Error: Location,11,0.0
zul,Indexical Error: Other,20,0.1
zul,Indexical Error: Time,16,0.0625
zul,Language,19,0.2631578947368421
zul,Law,61,0.3770491803278688
zul,Logical Falsehood,11,0.7272727272727273
zul,Mandela Effect,6,0.3333333333333333
zul,Misconceptions,88,0.3409090909090909
zul,Misconceptions: Topical,4,0.25
zul,Misinformation,12,0.16666666666666666
zul,Misquotations,12,0.08333333333333333
zul,Myths and Fairytales,20,0.25
zul,Nutrition,16,0.1875
zul,Paranormal,24,0.3333333333333333
zul,Politics,9,0.3333333333333333
zul,Proverbs,18,0.6666666666666666
zul,Psychology,17,0.058823529411764705
zul,Religion,14,0.21428571428571427
zul,Science,8,0.625
zul,Sociology,51,0.39215686274509803
zul,Statistics,5,0.4
zul,Stereotypes,25,0.6
zul,Subjective,9,0.4444444444444444
zul,Superstitions,20,0.55
zul,Weather,17,0.35294117647058826
